Total configs: 256
============================================================
P2.3: 256 Sobol Train-Only Screen (XS-REV + P4 + P5)
  [332] lb=96 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [66s]
  [334] lb=96 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [64s]
  [336] lb=96 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [65s]
  [338] lb=96 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [64s]
  [340] lb=96 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [64s]
  [342] lb=96 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [64s]
  [344] lb=96 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [63s]
  [346] lb=96 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [63s]
  [348] lb=96 so=1.0 r=14 p=1.0 f=0.25: ann=34.47% DD=13.46% pos=5/5 [63s]
  Progress: 128/160 (total: 351/256)
  [350] lb=96 so=1.0 r=14 p=0.5 f=0.5: ann=35.04% DD=26.06% pos=5/5 [63s]
  Checkpoint: 224 configs
  [352] lb=168 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [75s]
  [354] lb=168 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [73s]
  [356] lb=168 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [73s]
  [358] lb=168 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [73s]
  [364] lb=168 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [74s]
